dmacode,weekid,impressions_Channel_01_delayed_lag_1_decay_0.05_delay_1,impressions_Channel_02_exponential_decay_0_length_0,impressions_Channel_03_geometric_max_lag_5_length_0.05,impressions_Channel_04_exponential_decay_0.5_length_2,impressions_Channel_05_delayed_lag_1_decay_0.04_delay_1,impressions_Channel_06_delayed_lag_1_decay_0.04_delay_1,impressions_Channel_07_delayed_lag_2_decay_0.1_delay_1,impressions_Channel_08_exponential_decay_0.5_length_2,impressions_Channel_09_exponential_decay_0.5_length_2,impressions_Channel_10_null_delayed_lag_5_decay_0.6_delay_1,impressions_Channel_11_delayed_lag_1_decay_0.05_delay_1,impressions_Channel_12_delayed_lag_8_decay_0.2_delay_3,impressions_Channel_13_delayed_lag_9_decay_0.7_delay_5,target_visits,control_01,control_02,control_03,control_04,control_05,control_06,control_07
642,75,349,51268,20140.4899,573229.5,5323,997,64908.27273,26609.5,19870.0,25.4054546,4960,1438.018899,290508.789,142717,732.16,225298.48,40.98,38.56,195878.28,6.698813025,5.21
642,76,339,35348,12998.8761,537393.5,5629,1088,53043.18182,20231.75,18874.0,24.07214177,4026,1728.709373,158804.1781,126262,729.16,225441.44,40.57,38.2,195955.92,6.525252113,6.39
642,77,415,42147,15391.09479,559709.0,2775,1276,18567.90909,19755.0,19668.0,23.70539138,4202,1286.374282,50682.688,140368,737.31,225522.76,40.13,36.7,196756.89,6.366215714,5.84
642,78,877,76391,15479.35445,544166.0,2976,1764,25595.0,22432.0,20639.75,26.24352368,4152,1151.590368,9668.014189,157447,741.53,224854.06,39.82,33.98,197317.57,6.426381813,5.46
642,79,3316,56848,14016.01631,577631.5,3078,797,35313.90909,25231.75,20387.5,31.3648415,3723,1310.104289,1644.356006,178284,744.68,223187.84,39.61,31.64,197710.04,6.650011359,5.19
642,80,3899,12389,14638.24917,519830.5,2552,278,34497.90909,33868.75,29063.5,29.05581044,8226,3631.134547,6074.213991,128444,746.08,222036.49,39.46,30.01,197984.77,6.78652441,5.0
642,81,1894,11788,28952.61753,541193.0,596,40,54526.54545,63771.75,53666.75,18.80994984,8408,14107.11604,34813.85354,151550,729.68,221999.29,36.85,27.86,197788.88,6.739104356,6.17
642,82,972,29867,28830.43483,582432.25,690,186,73966.45455,53864.25,40282.25,8.739360258,9991,17123.42629,122173.1765,165233,716.33,221399.5,35.02,26.36,197651.76,6.85266764,5.62
642,83,313,49645,26657.37502,591240.75,789,637,59943.18182,40822.75,25894.75,2.879949003,9159,13748.48488,257797.3754,164417,705.18,220323.4,33.74,26.53,197555.78,6.829713137,5.24
642,84,293,37723,27593.72282,558643.5,1258,1311,55628.09091,46452.5,18236.75,0.494825571,8677,3382.683933,346112.601,141096,695.46,220117.63,32.85,26.9,197488.59,6.702547645,4.97
642,85,318,47639,24895.03913,570730.5,1439,2356,58813.63636,49529.0,17856.5,0.034458408,10811,1363.138584,299644.64,153436,688.24,219054.71,35.86,27.52,197741.91,6.655641231,6.08
642,86,5974,70048,33774.6533,593869.75,9434,4467,54088.72727,61071.0,17490.75,23.59299321,11314,1726.225577,158411.0124,157303,683.45,218288.17,37.96,29.09,197919.23,6.607292267,5.56
642,87,16806,37037,37077.18517,595095.75,3938,996,52096.81818,59651.25,18051.5,69.06934245,13768,2537.51926,47361.83135,160367,680.08,219101.59,39.43,29.96,198043.36,6.60341232,5.19
642,88,461,54503,42930.91421,592325.75,436,166,60058.63636,56757.75,19737.5,119.845567,15079,2482.36471,8291.706691,177320,679.57,217870.98,40.46,32.02,198130.25,6.521684139,4.93
642,89,257,27950,51458.20291,570756.75,3152,700,64470.45455,54036.0,31170.75,112.6322657,12461,5049.729309,4303.37069,160650,663.85,218772.19,41.46,34.85,195731.47,6.322908717,6.08
642,90,207,67107,51421.91806,577402.5,1633,409,37963.90909,54849.75,37888.0,53.49486737,18663,15564.45515,18847.20215,161727,652.5,222140.53,42.16,36.19,194052.32,6.332049666,5.58
642,91,225,65019,41265.54783,589064.25,1406,1085,87184.27273,49974.75,30404.5,10.58103549,20426,17838.77194,61575.94111,166229,645.49,223935.85,42.65,37.52,192876.92,6.528658731,5.23
642,92,231,48694,32729.27592,587455.0,2886,659,104655.8182,47693.25,22076.5,0.783928776,20551,12904.26595,123233.4615,172520,641.52,227836.33,42.99,38.42,192054.14,6.653249342,4.99
642,93,268,40783,27507.80904,580548.0,1744,403,96558.09091,58546.0,19763.75,0.0,23306,7254.871339,158718.4867,184814,639.94,229179.16,43.23,39.14,191478.19,6.643027774,4.82
642,94,266,63167,100244.7559,606379.0,5781,2336,108514.9091,72967.25,31239.25,0.0,19639,15675.58157,146390.3463,211644,634.05,228731.64,44.14,40.2,190583.05,6.581431811,5.99
642,95,264,37353,101705.1527,607839.5,6253,4323,195575.7273,61610.5,60654.75,0.0,18759,16685.73808,123160.9244,187852,630.68,227114.34,44.78,40.96,189956.45,6.899183223,5.48
642,96,258,42732,96699.47417,604075.0,7042,3088,184951.1818,49873.25,102927.5,0.0,21042,14616.64793,124886.3055,177054,628.63,225907.23,45.22,41.53,189517.83,6.876935132,5.12
642,97,252,65821,92074.44139,588792.5,7767,3180,189652.0909,58420.75,125980.5,83.34481298,20664,19282.26651,126422.745,196605,628.1,226993.5,45.53,42.11,189210.8,6.857118205,4.87
642,98,249,19535,68565.33397,607516.25,6190,5872,198737.8182,57786.25,125950.5,177.8877495,20331,29317.35584,99424.10844,201687,623.3,228283.99,45.38,41.99,188541.97,6.796574883,6.04
642,99,267,42094,91826.71343,602646.75,8805,7541,179112.1818,54796.0,108104.75,148.5674717,18900,46310.93899,71231.15189,185250,620.6,229644.63,45.28,42.07,188073.79,6.866333687,5.58
642,100,299,23458,87322.08131,595386.0,6419,6007,192458.3636,53039.25,106087.75,57.40961682,18727,43133.10021,96342.1823,187315,620.06,231171.78,45.21,41.78,187746.06,6.928435325,5.25
642,101,303,59924,96412.5542,579954.0,15942,8709,180504.0909,54049.25,118244.25,35.2076063,18625,42398.07297,171478.9892,184234,621.0,231362.45,45.16,41.38,187516.65,6.993701069,5.02
642,102,328,47557,92564.52787,580837.25,17867,15466,154232.7273,58991.25,132356.75,42.59621313,19408,42983.96857,224305.9401,193990,622.73,232991.76,45.12,40.76,187356.06,6.954961903,4.86
642,103,328,47752,110188.4394,619036.25,9986,2319,172424.0,56777.5,142677.75,25.39241956,19283,31520.70886,215495.8377,196863,631.61,233807.34,45.55,40.46,187046.36,6.921980968,3.4
642,104,293,44810,104593.4753,617328.75,9674,6259,182498.7273,53907.5,149366.75,7.650968349,20305,38121.28137,171272.1776,189193,639.83,234564.14,45.85,40.5,186829.57,6.906588543,2.38
642,105,247,33649,102061.2782,598438.25,23381,3273,171482.4545,53602.5,156091.25,6.747773095,21551,32078.05192,146046.5449,192281,646.44,223569.055,46.06,40.21,186677.81,6.856833338,4.22
642,106,0,52346,51065.94951,603398.5,11896,9264,167453.7273,58335.5,159975.0,36.98355553,22213,31587.35909,158858.4602,195035,652.33,223462.09,46.21,37.85,186571.58,6.748976375,4.69
642,107,0,34212,103520.2516,603689.5,7851,7830,163180.6364,61425.0,156849.0,92.19957008,20751,31131.73557,150796.7152,194853,649.02,224864.715,45.22,36.16,203717.38,6.748721749,4.485
642,108,453,70534,120725.4657,631553.25,5753,8721,158617.2727,59392.5,152316.0,120.6259069,20224,43430.89114,111018.1328,213989,646.63,224768.425,44.52,34.76,203044.95,6.766605435,4.345
643,0,206,2212,1057.35033,118710.0,2614,319,2787.727273,7119.0,1824.0,0.0,1124,0.004312152,15.57366418,42560,343.3958333,0.0,23.875,18.375,198040.8505,6.609197447,3.833256533
643,1,304,2402,729.2677279,179034.0,16764,129,30626.18182,9705.5,2793.0,0.0,1098,13.47964572,400.7219299,42165,342.99,0.0,23.88,18.49,198040.85,6.547442752,3.83
643,2,267,2298,720.4636001,217547.0,9511,210,30311.45455,11151.75,3548.5,0.0,1553,1697.472334,5068.284683,41037,348.31,0.0,24.39,18.53,198151.08,6.516034356,4.89
643,3,110,2598,654.4733733,210453.75,5996,201,30634.90909,8999.0,3824.25,0.0,3382,10063.29081,32718.7756,38711,351.48,0.0,24.75,18.45,198228.24,6.68517721,4.48
643,4,101,2260,540.0238272,221179.0,4656,388,26461.90909,8695.25,3557.0,0.0,3301,11316.41663,112479.1488,40326,353.76,0.0,25.0,18.24,198282.25,6.670824193,4.19
643,5,154,2049,657.8010581,213673.75,8504,606,25953.18182,8871.25,3249.5,0.0,3333,9716.667957,221805.1488,40374,356.01,0.0,25.17,18.58,198320.06,6.54871941,3.99
643,6,183,3543,898.340112,230854.0,6865,629,27107.18182,9390.5,3789.0,0.0,3341,6418.886156,279553.8316,46092,358.26,0.0,25.29,19.27,198346.52,6.590114498,3.85
643,7,203,2152,755.5170139,235713.0,14213,292,26675.27273,7970.75,3092.5,0.0,3187,10545.21331,260069.7552,43152,355.0,0.0,25.62,19.53,197243.78,6.798374055,4.85
643,8,193,2679,850.9759116,236010.5,10762,1094,19369.09091,7124.5,2352.75,0.0,2988,12130.0148,236461.7279,43828,353.16,0.0,25.85,19.86,196471.87,6.732237365,4.49
